ID,Title,Topic,Difficulty,Source,Last Updated,Problem Description,Examples,Approaches Count,Code Solutions,Full Content,Is Processed
60,Find Median from Running Data Stream,Heap,Unknown,GeeksforGeeks,"15 Oct, 2025","Given a data streamarr[]where integers are read sequentially, Determine themedianof the elements encountered so far after each new integer is read.","Input:arr[] = [5, 15, 1, 3, 2, 8]Output:[5.00, 10.00, 5.00, 4.00, 3.00, 4.00]Explanation:After reading 1st element of stream - 5 -> median = 5After reading 2nd element of stream - 5, 15 -> median = (5+15)/2 = 10After reading 3rd element of stream - 5, 15, 1 -> median = 5After reading 4th element of stream - 5, 15, 1, 3 ->  median = (3+5)/2 = 4After reading 5th element of stream - 5, 15, 1, 3, 2 -> median = 3After reading 6th element of stream - 5, 15, 1, 3, 2, 8 ->  median = (3+5)/2 = 4Input: ar",22,#include<iostream>#include<vector>#include<iomanip>usingnamespacestd;vector<double>getMedian(vector<int>&arr){vector<double>res;res.push_back(arr[0]);for(inti=1;i<arr.size();i++){intj=i-1;intnum=arr[i,"Given a data streamarr[]where integers are read sequentially, Determine themedianof the elements encountered so far after each new integer is read.  There are two cases for median on the basis of data set size.  If the data set has an odd number then the middle one will be consider as median.  If the data set has an even number then there is no distinct middle value and the median will be the arithmetic mean of the two middle values.  Input:arr[] = [5, 15, 1, 3, 2, 8]Output:[5.00, 10.00, 5.00, 4.00, 3.00, 4.00]Explanation:After reading 1st element of stream - 5 -> median = 5After reading 2nd element of stream - 5, 15 -> median = (5+15)/2 = 10After reading 3rd element of stream - 5, 15, 1 -> median = 5After reading 4th element of stream - 5, 15, 1, 3 ->  median = (3+5)/2 = 4After reading 5th element of stream - 5, 15, 1, 3, 2 -> median = 3After reading 6th element of stream - 5, 15, 1, 3, 2, 8 ->  median = (3+5)/2 = 4Input: arr[] = [2, 2, 2, 2]Output: [2.00, 2.00, 2.00, 2.00]Explanation",False
61,Largest triplet product in a stream,Heap,Unknown,GeeksforGeeks,"14 Feb, 2025","Given a stream of integers represented as arr[]. For each index i from 0 to n-1, print the multiplication of the largest, second largest, and third largest element of the subarray arr[0...i]. If i < 2 print -1.","Input:arr[] = {1, 2, 3, 4, 5}Output:-1 -1 6 24 60Explanation:for i = 2 only three elements are there {1, 2, 3} so answer is 6.For i = 3 largest three elements are {2, 3, 4} their product is 2*3*4 = 24 ....so onInput:arr[] = {-5, -2, 0, 3, 6, 7}Output:-1 -1 0 0 0 126Explanation:Fori = 2: Three elements are{-5, -2, 0}, so their product =0.Fori = 3: Three largest elements are{-2, 0, 3}, product =0.Fori = 4: Three largest elements are{0, 3, 6}, product =0.Fori = 5: Three largest elements are{3, 6, 7",20,// C++ implementation of largest triplet// multiplication#include<bits/stdc++.h>usingnamespacestd;vector<int>largestTripletProducts(vector<int>&arr){priority_queue<int>pq;vector<int>result;for(inti=0;,"Given a stream of integers represented as arr[]. For each index i from 0 to n-1, print the multiplication of the largest, second largest, and third largest element of the subarray arr[0...i]. If i < 2 print -1.  Input:arr[] = {1, 2, 3, 4, 5}Output:-1 -1 6 24 60Explanation:for i = 2 only three elements are there {1, 2, 3} so answer is 6.For i = 3 largest three elements are {2, 3, 4} their product is 2*3*4 = 24 ....so onInput:arr[] = {-5, -2, 0, 3, 6, 7}Output:-1 -1 0 0 0 126Explanation:Fori = 2: Three elements are{-5, -2, 0}, so their product =0.Fori = 3: Three largest elements are{-2, 0, 3}, product =0.Fori = 4: Three largest elements are{0, 3, 6}, product =0.Fori = 5: Three largest elements are{3, 6, 7}, product =3*6*7 = 126.Input:arr[] = {2, 2, 2, 2, 2}Output:-1 -1 8 8 8Explanation:Fori = 2: Three elements{2, 2, 2}, so2*2*2 = 8.Fori = 3and onwards, the largest three elements are always{2, 2, 2}, so output remains8.  Input:arr[] = {1, 2, 3, 4, 5}Output:-1 -1 6 24 60Explanation:for i =",False
62,Connect n ropes with minimum cost,Heap,Unknown,GeeksforGeeks,"18 Oct, 2025","Given an arrayarr[]of rope lengths, connect all ropes into a single rope with theminimumtotal cost. The cost to connect two ropes is thesumof their lengths.","Input:arr[] = [4, 3, 2, 6]Output:29Explanation:Minimum cost to connect all ropes into a single rope isConnect ropes 2 and 3 - [4, 5, 6], cost = 5Connect ropes 4 and 5 - [9, 6], cost = 9Connect ropes 9 and 6 - [15], cost = 15Total cost = 5 + 9 + 15 = 29Input:arr[] = [10]Output:0",20,#include<iostream>#include<vector>#include<algorithm>usingnamespacestd;intminCost(vector<int>&arr){inttotalCost=0;// Continue until only one rope remainswhile(arr.size()>1){// Sort ropes to get the tw,"Given an arrayarr[]of rope lengths, connect all ropes into a single rope with theminimumtotal cost. The cost to connect two ropes is thesumof their lengths.  Input:arr[] = [4, 3, 2, 6]Output:29Explanation:Minimum cost to connect all ropes into a single rope isConnect ropes 2 and 3 - [4, 5, 6], cost = 5Connect ropes 4 and 5 - [9, 6], cost = 9Connect ropes 9 and 6 - [15], cost = 15Total cost = 5 + 9 + 15 = 29Input:arr[] = [10]Output:0  Input:arr[] = [4, 3, 2, 6]Output:29Explanation:Minimum cost to connect all ropes into a single rope isConnect ropes 2 and 3 - [4, 5, 6], cost = 5Connect ropes 4 and 5 - [9, 6], cost = 9Connect ropes 9 and 6 - [15], cost = 15Total cost = 5 + 9 + 15 = 29  Input:arr[] = [10]Output:0  Table of Content  [Naive Approach] Greedy with Repeated Sorting - O(n^2*log(n)) Time and O(n) Space  [Expected Approach] Greedy with Heap - O(n*log(n)) Time and O(n) Space  [Naive Approach] Greedy with Repeated Sorting - O(n2*log(n)) Time and O(n) Space  The idea is to always con",False
63,Clone an Undirected Graph,Graph,Unknown,GeeksforGeeks,"13 Apr, 2025","Given aconnected undirected graphrepresented by adjacency list,adjList[][]withnnodes andmedges, with each node having adistinct labelfrom0 to n-1, and each adj[i] represents the list of vertices connected to vertex i.",class Node {val: integerneighbors: List[Node]},20,#include<iostream>#include<vector>#include<queue>#include<map>usingnamespacestd;// Definition for a NodestructNode{intval;vector<Node*>neighbors;};// Clone the graphNode*cloneGraph(Node*node){if(!node,"Given aconnected undirected graphrepresented by adjacency list,adjList[][]withnnodes andmedges, with each node having adistinct labelfrom0 to n-1, and each adj[i] represents the list of vertices connected to vertex i.  Create acloneof the graph, where each node in the graph contains an integervaland an array (neighbors) of nodes,containing nodes that are adjacent to the current node.  class Node {val: integerneighbors: List[Node]}  class Node {val: integerneighbors: List[Node]}  Your task is to clone the given graph and return a reference to the cloned graph.  Note:If you return a correct copy of the given graph, the output will be true; otherwise, if the copy is incorrect, it will print false.  Input:n = 4, adjList[][] = [[1, 2], [0, 2], [0, 1, 3], [2]]Output:trueExplanation:Since the cloned graph is identical to the original, the output will be true.Input:n = 3, adjList[][] = [[1, 2], [0], [0]]Output:trueExplanation:Since the cloned graph is identical to the original, the output will",False
64,Unknown,Graph,Unknown,GeeksforGeeks,,Error: Article not found,,0,,,False
65,Atlantic pacific water flow,Graph,Unknown,GeeksforGeeks,"23 Jul, 2025","There is anN x Mrectangular island that borders both the Pacific Ocean and the Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges.","Input:mat[][] = {{1, 2, 2, 3, 5},{3, 2, 3, 4, 4},{2, 4, 5, 3, 1},{6, 7, 1, 4, 5},{5, 1, 1, 2, 4}}Output:7Explanation:In the given matrix, there are 7 coordinates through which the water can flow to both the lakes. They are  (0, 4), (1, 3), (1, 4), (2, 2), (3, 0), (3, 1), and (4, 0)Input:mat[][] = {{2, 2},{2, 2}}Output:4Example:In the following example, all cells allow water to flow to both the lakes.",10,"// C++ Program of the above approach#include<bits/stdc++.h>usingnamespacestd;intx[5]={0,0,-1,1};inty[5]={1,-1,0,0};// Function to check if coordinate// (i, j) lies inside N x M matrixboolsafe(inti,int","There is anN x Mrectangular island that borders both the Pacific Ocean and the Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges.  The island is partitioned into a grid of square cells. The island receives a lot of rain, and the rainwater can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean.  Given a matrixmat[][]havingNrows andMcolumns wheremat[x][y]represents the height above sea level of the cell at coordinate(x, y), the task is to find the number of coordinates(x, y)such that the rainwater can flow from the cell(x, y)to both the Pacific and Atlantic oceans.  Input:mat[][] = {{1, 2, 2, 3, 5},{3, 2, 3, 4, 4},{2, 4, 5, 3, 1},{6, 7, 1, 4, 5},{5, 1, 1, 2, 4}}Output:7Explanation:In the given matrix, there are 7 coordinates through whic",False
66,Detect Cycle in a Directed Graph,Graph,Unknown,GeeksforGeeks,"04 Nov, 2025","Given a directed graph represented by its adjacency listadj[][], determine whether the graph contains a cycle/Loop or not.A cycle is a path that starts and ends at the same vertex, following the direction of edges.","Input:adj[][] = [[1], [2], [0, 3], []]Output:trueExplanation:There is a cycle 0 -> 1 -> 2 -> 0.Input:adj[][] = [[2], [0], []]Output:falseExplanation:There is no cycle in the graph.",20,"//Driver Code Starts#include<iostream>#include<vector>usingnamespacestd;//Driver Code Ends// Utility DFS function to detect cycle in a directed graphboolisCyclicUtil(vector<vector<int>>&adj,intu,vecto","Given a directed graph represented by its adjacency listadj[][], determine whether the graph contains a cycle/Loop or not.A cycle is a path that starts and ends at the same vertex, following the direction of edges.  Input:adj[][] = [[1], [2], [0, 3], []]Output:trueExplanation:There is a cycle 0 -> 1 -> 2 -> 0.Input:adj[][] = [[2], [0], []]Output:falseExplanation:There is no cycle in the graph.  Input:adj[][] = [[1], [2], [0, 3], []]  Output:trueExplanation:There is a cycle 0 -> 1 -> 2 -> 0.  Input:adj[][] = [[2], [0], []]  Output:falseExplanation:There is no cycle in the graph.  Table of Content  [Approach 1] Using  DFS - O(V + E) Time and O(V) Space  [Approach 2] Using  Topological Sorting - O(V + E) Time and O(V) Space  [Approach 1] Using  DFS - O(V + E) Time and O(V) Space  To detect a cycle in a directed graph, we use Depth First Search (DFS). In DFS, we go as deep as possible from a starting node. If during this process, we reach a node that we’ve already visited in the same DFS p",False
67,Bridges in a graph,Graph,Unknown,GeeksforGeeks,"23 Jul, 2025","Given an undirected Graph, The task is to find the Bridges in this Graph.","An edge in an undirected connected graph is a bridge if removing it disconnects the graph. For a disconnected undirected graph, the definition is similar, a bridge is an edge removal that increases the number of disconnected components.LikeArticulation Points, bridges represent vulnerabilities in a connected network and are useful for designing reliable networks.",11,// A C++ program to find bridges in a given undirected graph#include<bits/stdc++.h>usingnamespacestd;// A class that represents an undirected graphclassGraph{intV;// No. of verticeslist<int>*adj;// A ,"Given an undirected Graph, The task is to find the Bridges in this Graph.  An edge in an undirected connected graph is a bridge if removing it disconnects the graph. For a disconnected undirected graph, the definition is similar, a bridge is an edge removal that increases the number of disconnected components.LikeArticulation Points, bridges represent vulnerabilities in a connected network and are useful for designing reliable networks.  An edge in an undirected connected graph is a bridge if removing it disconnects the graph. For a disconnected undirected graph, the definition is similar, a bridge is an edge removal that increases the number of disconnected components.  LikeArticulation Points, bridges represent vulnerabilities in a connected network and are useful for designing reliable networks.  Input:Output:(0, 3) and (3, 4)Input:Output:(1, 6)Input:Output:(0, 1), (1, 2), and (2, 3)  Output:(0, 3) and (3, 4)  Output:(1, 6)  Output:(0, 1), (1, 2), and (2, 3)  Naive Approach:Below is",False
68,Check whether a given graph is Bipartite or not,Graph,Unknown,GeeksforGeeks,"23 Jul, 2025","Given a graph withV verticesnumbered from0 to V-1and a list ofedges, determine whether the graph isbipartiteor not.","Input:V = 4, edges[][]= [[0, 1], [0, 2], [1, 2], [2, 3]]Output:falseExplanation:node 1 and node 2 have same color while coloringThe graph is not bipartite because no matter how we try to color the nodes using two colors, there exists a cycle of odd length (like 1–2–0–1), which leads to a situation where two adjacent nodes end up with the same color. This violates the bipartite condition, which requires that no two connected nodes share the same color.Input:V = 4, edges[][] = [[0, 1], [1, 2], [2,",10,"//Driver Code Starts#include<bits/stdc++.h>usingnamespacestd;vector<vector<int>>constructadj(intV,vector<vector<int>>&edges){vector<vector<int>>adj(V);for(autoit:edges){adj[it[0]].push_back(it[1]);adj","Given a graph withV verticesnumbered from0 to V-1and a list ofedges, determine whether the graph isbipartiteor not.  Note:Abipartite graphis a type of graph where the set of vertices can be divided intotwo disjoint sets, sayUandV, such thatevery edge connects a vertex in U to a vertex in V,there areno edges between vertices within the same set.  Input:V = 4, edges[][]= [[0, 1], [0, 2], [1, 2], [2, 3]]Output:falseExplanation:node 1 and node 2 have same color while coloringThe graph is not bipartite because no matter how we try to color the nodes using two colors, there exists a cycle of odd length (like 1–2–0–1), which leads to a situation where two adjacent nodes end up with the same color. This violates the bipartite condition, which requires that no two connected nodes share the same color.Input:V = 4, edges[][] = [[0, 1], [1, 2], [2, 3]]Output:trueExplanation:The given graph can be colored in two colors so, it is a bipartite graph.  Input:V = 4, edges[][]= [[0, 1], [0, 2], [1, 2], [",False
69,Max Area of Island - Largest in Boolean Matrix,Graph,Unknown,GeeksforGeeks,"23 Jul, 2025","Given a binary 2D matrix, find area of thelargest region of 1swhich are connectedhorizontally,verticallyordiagonally.","Input: M[][]= {{1, 0, 0, 0, 1, 0, 0},{0,1, 0, 0, 1, 1, 0},{1,1, 0, 0, 0, 0, 0},{1, 0, 0, 1, 1, 0, 0},{1, 0, 0, 1, 0, 1, 1}}Output: 6Explanation: The region in red has the largest area of 6 cells.Area of Largest Region is 6Input:M[][] = {{0, 0,1, 1, 0},{1, 0,1, 1, 0},{0,1, 0, 0, 0},{0, 0, 0, 0, 1}}Output:6Explanation:In the following example, there are 2 regions. One with area = 1 and other with area = 6. So, largest area = 6.",24,"// C++ Program to find area of the largest region of 1s#include<bits/stdc++.h>usingnamespacestd;// A function to check if cell(r, c) can be included in DFSboolisSafe(vector<vector<int>>&M,intr,intc,in","Given a binary 2D matrix, find area of thelargest region of 1swhich are connectedhorizontally,verticallyordiagonally.  Input: M[][]= {{1, 0, 0, 0, 1, 0, 0},{0,1, 0, 0, 1, 1, 0},{1,1, 0, 0, 0, 0, 0},{1, 0, 0, 1, 1, 0, 0},{1, 0, 0, 1, 0, 1, 1}}Output: 6Explanation: The region in red has the largest area of 6 cells.Area of Largest Region is 6Input:M[][] = {{0, 0,1, 1, 0},{1, 0,1, 1, 0},{0,1, 0, 0, 0},{0, 0, 0, 0, 1}}Output:6Explanation:In the following example, there are 2 regions. One with area = 1 and other with area = 6. So, largest area = 6.  Input: M[][]= {{1, 0, 0, 0, 1, 0, 0},{0,1, 0, 0, 1, 1, 0},{1,1, 0, 0, 0, 0, 0},{1, 0, 0, 1, 1, 0, 0},{1, 0, 0, 1, 0, 1, 1}}  Output: 6Explanation: The region in red has the largest area of 6 cells.  Input:M[][] = {{0, 0,1, 1, 0},{1, 0,1, 1, 0},{0,1, 0, 0, 0},{0, 0, 0, 0, 1}}Output:6Explanation:In the following example, there are 2 regions. One with area = 1 and other with area = 6. So, largest area = 6.  Table of Content  Using DFS - O(rows * col",False
70,Flood Fill Algorithm,Graph,Unknown,GeeksforGeeks,"06 Nov, 2025","Given a 2D gridimg[][]representing an image, where each elementimg[i][j]is an integer that denotes the color of a pixel. Also there is a coordinates(sr, sc)representing the starting pixel (rowsrand columnsc) and an integernewColor, which represents the new color to apply.We need to perform aflood fillon the image starting from(sr, sc).It means we must change the color of the starting pixel and all other pixels that areconnectedto it (directly or indirectly) and have the same original color as th","Input:sr = 1, sc = 2, newColor = 2,img[][]= [[1, 1, 1, 0],[0, 1, 1, 1],[1, 0, 1, 1]]Output:[[2, 2, 2, 0],[0, 2, 2, 2],[1, 0, 2,2]]Explanation:Starting from pixel (1, 2) with value 1, flood fill updates all connected pixels (up, down, left, right) with value 1 to 2. The pixel at (2, 0) remains unchanged because it has no adjacent 1 connected to the starting pixel.Input:sr = 0, sc = 1, newColor = 0, img[][] = [[0, 1, 0],[0, 1, 0]]Output:[[0, 0, 0],[0, 0, 0]]Explanation:Starting from pixel (0, 1) w",22,"//Driver Code Starts#include<iostream>#include<vector>usingnamespacestd;//Driver Code Endsvoiddfs(vector<vector<int>>&img,intx,inty,intoldColor,intnewColor){if(x<0||x>=img.size()||y<0||y>=img[0].size(","Given a 2D gridimg[][]representing an image, where each elementimg[i][j]is an integer that denotes the color of a pixel. Also there is a coordinates(sr, sc)representing the starting pixel (rowsrand columnsc) and an integernewColor, which represents the new color to apply.We need to perform aflood fillon the image starting from(sr, sc).It means we must change the color of the starting pixel and all other pixels that areconnectedto it (directly or indirectly) and have the same original color as the starting pixel.Two pixels are considered connected if they are adjacent horizontally or vertically (not diagonally).  Input:sr = 1, sc = 2, newColor = 2,img[][]= [[1, 1, 1, 0],[0, 1, 1, 1],[1, 0, 1, 1]]Output:[[2, 2, 2, 0],[0, 2, 2, 2],[1, 0, 2,2]]Explanation:Starting from pixel (1, 2) with value 1, flood fill updates all connected pixels (up, down, left, right) with value 1 to 2. The pixel at (2, 0) remains unchanged because it has no adjacent 1 connected to the starting pixel.Input:sr = 0, s",False
71,Strongly Connected Components,Graph,Unknown,GeeksforGeeks,"12 Dec, 2025","In a directed graph, a Strongly Connected Component is a subset of vertices where every vertex in the subset is reachable from every other vertex in the same subset by traversing the directed edges. Finding theSCCsof a graph can provide important insights into the structure and connectivity of the graph, with applications in various fields such associal network analysis, web crawling, and network routing.","The main idea will be for each vertex i, find the vertices which will be the part of strongly connected component containing vertex i. Two vertex i and j will be in  the same strongly connected component if they there is a directed path from vertex i to vertex j and vice-versa.",22,"#include<iostream>#include<vector>#include<algorithm>usingnamespacestd;classGfG{public:// dfs Function to reach destinationbooldfs(intcurr,intdes,vector<vector<int>>&adj,vector<int>&vis){// If curr no","In a directed graph, a Strongly Connected Component is a subset of vertices where every vertex in the subset is reachable from every other vertex in the same subset by traversing the directed edges. Finding theSCCsof a graph can provide important insights into the structure and connectivity of the graph, with applications in various fields such associal network analysis, web crawling, and network routing.  The below graph has two strongly connected components {1,2,3,4} and {5,6,7} since there is path from each vertex to every other vertex in the same strongly connected component.  Difference Between Connected and Strongly Connected Components (SCCs) :The term Connected is for undirected graphs and Strongly Connected is for directed graphs. A subgraph of a directed graph is considered to be an Strongly Connected Components(SCC) if and only if for every pair of vertices A and B, there exists a path from A to B and a path from B to A.  Connecting Two Strongly Connected Component by a Unid",False
72,Topological Sorting,Graph,Unknown,GeeksforGeeks,"06 Dec, 2025","Topological sorting for Directed Acyclic Graph (DAG) is a linear ordering of vertices such that for every directed edge u→v, vertex u comes before v in the ordering. There may be several topological orderings for a graph.","Input:adj[][] = [[1], [2], [], [2, 4], []]Output:[0, 3, 1, 4, 2]Explanation:Since vertices 0 and 3 do not have any incoming edges from any other vertex, they appear first in the topological ordering. Next, vertex 1 depends only on vertex 0, so it comes after 0. Similarly, vertex 4 depends only on vertex 3, placing it after 3. Finally, vertex 2 depends on both vertices 1 and 3, so it appears after both of them in the ordering.",0,,"Topological sorting for Directed Acyclic Graph (DAG) is a linear ordering of vertices such that for every directed edge u→v, vertex u comes before v in the ordering. There may be several topological orderings for a graph.  Applies only toDAGs(Directed Acyclic Graphs), and is not possible forcyclicorundirectedgraphs.  It doesn’t “traverse” all vertices like BFS/DFS; instead, it represents dependency ordering between them.  Used in problems like task scheduling, build order, course prerequisite ordering, etc.  Input:adj[][] = [[1], [2], [], [2, 4], []]Output:[0, 3, 1, 4, 2]Explanation:Since vertices 0 and 3 do not have any incoming edges from any other vertex, they appear first in the topological ordering. Next, vertex 1 depends only on vertex 0, so it comes after 0. Similarly, vertex 4 depends only on vertex 3, placing it after 3. Finally, vertex 2 depends on both vertices 1 and 3, so it appears after both of them in the ordering.  Input:adj[][] = [[1], [2], [], [2, 4], []]  Output:[0, ",False
73,Climbing stairs to reach the top,Dynamic Programming & Greedy,Unknown,GeeksforGeeks,"25 Oct, 2025","There arenstairs, and a person standing at the bottom wants to climb stairs to reach the top. The person can climb either1stair or2stairs at a time, the task is to count the number of ways that a person can reach at the top.","Input:n = 1Output:1Explanation: There is only one way to climb 1 stair.Input:n = 2Output:2Explanation: There are two ways to reach 2th stair: {1, 1} and {2}.Input:n = 4Output:5Explanation: There are five ways to reach 4th stair: {1, 1, 1, 1}, {1, 1, 2}, {2, 1, 1}, {1, 2, 1} and {2, 2}.",60,"// C++ program to count number of ways to reach// nth stair using recursion#include<iostream>usingnamespacestd;intcountWays(intn){// Base cases: If there are 0 or 1 stairs,// there is only one way to ","There arenstairs, and a person standing at the bottom wants to climb stairs to reach the top. The person can climb either1stair or2stairs at a time, the task is to count the number of ways that a person can reach at the top.  Note:This problem is similar toCount ways to reach Nth stair (Order does not matter)with the only difference that in this problem, we count all distinct ways where different orderings of the steps are considered unique.  Input:n = 1Output:1Explanation: There is only one way to climb 1 stair.Input:n = 2Output:2Explanation: There are two ways to reach 2th stair: {1, 1} and {2}.Input:n = 4Output:5Explanation: There are five ways to reach 4th stair: {1, 1, 1, 1}, {1, 1, 2}, {2, 1, 1}, {1, 2, 1} and {2, 2}.  Input:n = 1Output:1Explanation: There is only one way to climb 1 stair.  Input:n = 2Output:2Explanation: There are two ways to reach 2th stair: {1, 1} and {2}.  Input:n = 4Output:5Explanation: There are five ways to reach 4th stair: {1, 1, 1, 1}, {1, 1, 2}, {2, 1, ",False
74,Coin Change - Count Ways to Make Sum,Dynamic Programming & Greedy,Unknown,GeeksforGeeks,"23 Jul, 2025","Given an integer array ofcoins[]ofsize nrepresenting different types ofdenominationsand an integersum, the task is to count all combinations of coins to make a given valuesum.","Input:sum = 4, coins[] = [1, 2, 3]Output:4Explanation:There are four solutions: [1, 1, 1, 1], [1, 1, 2], [2, 2] and [1, 3]Input:sum = 10, coins[] = [2, 5, 3, 6]Output:5Explanation:There are five solutions:[2, 2, 2, 2, 2], [2, 2, 3, 3], [2, 2, 6], [2, 3, 5] and [5, 5]Input:sum = 10, coins[] = [10]Output:1Explanation:The only is to pick 1 coin of value 10.Input:sum = 5, coins[] = [4]Output:0Explanation:We cannot make sum 5 with the given coins",40,"// C++ program for coin change problem// using recursion#include<bits/stdc++.h>usingnamespacestd;// Returns the count of ways we can// sum coins[0...n-1] coins to get sum ""sum""intcountRecur(vector<int","Given an integer array ofcoins[]ofsize nrepresenting different types ofdenominationsand an integersum, the task is to count all combinations of coins to make a given valuesum.  Note:Assume that you have aninfinitesupply of each type of coin.  Input:sum = 4, coins[] = [1, 2, 3]Output:4Explanation:There are four solutions: [1, 1, 1, 1], [1, 1, 2], [2, 2] and [1, 3]Input:sum = 10, coins[] = [2, 5, 3, 6]Output:5Explanation:There are five solutions:[2, 2, 2, 2, 2], [2, 2, 3, 3], [2, 2, 6], [2, 3, 5] and [5, 5]Input:sum = 10, coins[] = [10]Output:1Explanation:The only is to pick 1 coin of value 10.Input:sum = 5, coins[] = [4]Output:0Explanation:We cannot make sum 5 with the given coins  Input:sum = 4, coins[] = [1, 2, 3]Output:4Explanation:There are four solutions: [1, 1, 1, 1], [1, 1, 2], [2, 2] and [1, 3]  Input:sum = 10, coins[] = [2, 5, 3, 6]Output:5Explanation:There are five solutions:[2, 2, 2, 2, 2], [2, 2, 3, 3], [2, 2, 6], [2, 3, 5] and [5, 5]  Input:sum = 10, coins[] = [10]Output:1E",False
75,0/1 Knapsack Problem,Dynamic Programming & Greedy,Unknown,GeeksforGeeks,"23 Jul, 2025","Givennitems where each item has some weight and profit associated with it and also given a bag with capacityW, [i.e., the bag can hold at mostWweight in it]. The task is to put the items into the bag such that the sum of profits associated with them is the maximum possible.","Input:W = 4, profit[] = [1, 2, 3], weight[] = [4, 5, 1]Output:3Explanation:There are two items which have weight less than or equal to 4. If we select the item with weight 4, the possible profit is 1. And if we select the item with weight 1, the possible profit is 3. So the maximum possible profit is 3. Note that we cannot put both the items with weight 4 and 1 together as the capacity of the bag is 4.Input:W = 3, profit[] = [1, 2, 3], weight[] = [4, 5, 6]Output:0",40,"#include<bits/stdc++.h>usingnamespacestd;// Returns the maximum value that// can be put in a knapsack of capacity WintknapsackRec(intW,vector<int>&val,vector<int>&wt,intn){// Base Caseif(n==0||W==0)re","Givennitems where each item has some weight and profit associated with it and also given a bag with capacityW, [i.e., the bag can hold at mostWweight in it]. The task is to put the items into the bag such that the sum of profits associated with them is the maximum possible.  Note:The constraint here is we can either put an item completely into the bag or cannot put it at all [It is not possible to put a part of an item into the bag].  Input:W = 4, profit[] = [1, 2, 3], weight[] = [4, 5, 1]Output:3Explanation:There are two items which have weight less than or equal to 4. If we select the item with weight 4, the possible profit is 1. And if we select the item with weight 1, the possible profit is 3. So the maximum possible profit is 3. Note that we cannot put both the items with weight 4 and 1 together as the capacity of the bag is 4.Input:W = 3, profit[] = [1, 2, 3], weight[] = [4, 5, 6]Output:0  Input:W = 4, profit[] = [1, 2, 3], weight[] = [4, 5, 1]Output:3Explanation:There are two it",False
76,Longest Increasing Subsequence (LIS),Dynamic Programming & Greedy,Unknown,GeeksforGeeks,"23 Jul, 2025","Given an arrayarr[]of sizen, the task is to find thelengthof theLongest Increasing Subsequence (LIS)i.e., the longest possible subsequence in which the elements of the subsequence aresortedinincreasing order.","Input:arr[] = [3, 10, 2, 1, 20]Output:3Explanation:The longest increasing subsequence is 3, 10, 20Input:arr[] = [30, 20, 10]Output:1Explanation:The longest increasing subsequences are [30], [20] and [10]Input:arr[] = [2, 2, 2]Output:1Explanation:We consider only strictly increasing.Input:arr[] = [10, 20, 35, 80]Output:4Explanation:The whole array is sorted",30,// Cpp program to find lis using recursion// in Exponential Time and Linear Space#include<bits/stdc++.h>usingnamespacestd;// Returns LIS of subarray ending with index i.intlisEndingAtIdx(vector<int>&a,"Given an arrayarr[]of sizen, the task is to find thelengthof theLongest Increasing Subsequence (LIS)i.e., the longest possible subsequence in which the elements of the subsequence aresortedinincreasing order.  Input:arr[] = [3, 10, 2, 1, 20]Output:3Explanation:The longest increasing subsequence is 3, 10, 20Input:arr[] = [30, 20, 10]Output:1Explanation:The longest increasing subsequences are [30], [20] and [10]Input:arr[] = [2, 2, 2]Output:1Explanation:We consider only strictly increasing.Input:arr[] = [10, 20, 35, 80]Output:4Explanation:The whole array is sorted  Input:arr[] = [3, 10, 2, 1, 20]Output:3Explanation:The longest increasing subsequence is 3, 10, 20Input:arr[] = [30, 20, 10]Output:1Explanation:The longest increasing subsequences are [30], [20] and [10]  Input:arr[] = [2, 2, 2]Output:1Explanation:We consider only strictly increasing.  Input:arr[] = [10, 20, 35, 80]Output:4Explanation:The whole array is sorted  Table of Content  [Naive Approach] Using Recursion - Exponential T",False
